book	chapter	verse	anchor	references
Gen	1	1	IN die begin	Spr 8:22-24|Spr 16:4|Mark 13:19|Joh 1:1-3|Heb 1:10|1 Joh 1:1
Gen	1	1	God die hemel en die aarde geskape	Eks 20:11|Eks 31:18|1 Kron 16:26|Neh 9:6|Job 26:13|Job 38:4|Ps 8:4|Ps 33:6, 9|Ps 89:12-13|Ps 96:5|Ps 102:26|Ps 104:24, 30|Ps 115:15|Ps 121:2|Ps 124:8|Ps 134:3|Ps 136:5|Ps 146:6|Ps 148:4-5|Spr 3:19|Spr 8:22-30|Pred 12:1|Jes 37:16|Jes 40:26|Jes 40:28|Jes 42:5|Jes 44:24|Jes 45:18|Jes 51:13, 16|Jes 65:17|Jer 10:12|Jer 32:17|Jer 51:15|Sag 12:1|Matt 11:25|Hand 4:24|Hand 14:15|Hand 17:24|Rom 1:19-20|Rom 11:36|1 Kor 8:6|Ef 3:9|Kol 1:16-17|Heb 1:2|Heb 3:4|Heb 11:3|2 Pet 3:5|Opb 3:14|Opb 4:11|Opb 10:6|Opb 14:7|Opb 21:6|Opb 22:13
Gen	1	2	woes en leeg	Job 26:7|Jes 45:18|Jer 4:23|Nah 2:10
Gen	1	2	Gees van God	Job 26:14|Ps 33:6|Ps 104:30|Jes 40:12-14
Gen	1	3	God het gesê	Ps 33:6, 9|Ps 148:5|Matt 8:3|Joh 11:43
Gen	1	3	Laat daar lig wees	Job 36:30|Job 38:19|Ps 97:11|Ps 104:2|Ps 118:27|Jes 45:7|Jes 60:19|Joh 1:5, 9|Joh 3:19|2 Kor 4:6|Ef 5:8, 14|1 Tim 6:16|1 Joh 1:5|1 Joh 2:8
Gen	1	4	dat die lig goed was	Gen 1:10, 12, 18, 25, 31|Pred 2:13|Pred 11:7
Gen	1	5	lig dag genoem, en die duisternis	Gen 8:22|Ps 19:3|Ps 74:16|Ps 104:20|Jes 45:7|Jer 33:20|1 Kor 3:13|Ef 5:13|1 Thess 5:5
Gen	1	5	En dit was aand en dit was môre	Gen 1:8, 13, 19, 23, 31
Gen	1	6	Laat daar ’n uitspansel wees	Gen 1:14, 20|Gen 7:11-12|Job 26:7-8, 13|Job 37:11, 18|Job 38:22-26|Ps 19:1-2|Ps 33:6, 9|Ps 104:2|Ps 136:5-6|Ps 148:4|Ps 150:1|Pred 11:3|Jer 10:10, 12-13|Jer 51:15|Sag 12:1
