book	chapter	verse	anchor	references
Gen	1	1	beginning	Prov 8:22-24|Prov 16:4|Mark 13:19|John 1:1-3|Heb 1:10|1 John 1:1
Gen	1	1	God	Exod 20:11|Exod 31:18|1 Chr 16:26|Neh 9:6|Job 26:13|Job 38:4|Ps 8:3|Ps 33:6, 9|Ps 89:11-12|Ps 96:5|Ps 102:25|Ps 104:24, 30|Ps 115:15|Ps 121:2|Ps 124:8|Ps 134:3|Ps 136:5|Ps 146:6|Ps 148:4-5|Prov 3:19|Prov 8:22-30|Eccl 12:1|Isa 37:16|Isa 40:26|Isa 40:28|Isa 42:5|Isa 44:24|Isa 45:18|Isa 51:13, 16|Isa 65:17|Jer 10:12|Jer 32:17|Jer 51:15|Zech 12:1|Matt 11:25|Acts 4:24|Acts 14:15|Acts 17:24|Rom 1:19-20|Rom 11:36|1 Cor 8:6|Eph 3:9|Col 1:16-17|Heb 1:2|Heb 3:4|Heb 11:3|2 Pet 3:5|Rev 3:14|Rev 4:11|Rev 10:6|Rev 14:7|Rev 21:6|Rev 22:13
Gen	1	2	formless	Job 26:7|Isa 45:18|Jer 4:23|Nah 2:10
Gen	1	2	Spirit	Job 26:14|Ps 33:6|Ps 104:30|Isa 40:12-14
Gen	1	3	God	Ps 33:6, 9|Ps 148:5|Matt 8:3|John 11:43
Gen	1	3	Let	Job 36:30|Job 38:19|Ps 97:11|Ps 104:2|Ps 118:27|Isa 45:7|Isa 60:19|John 1:5, 9|John 3:19|2 Cor 4:6|Eph 5:8, 14|1 Tim 6:16|1 John 1:5|1 John 2:8
Gen	1	4	that the light was good	Gen 1:10, 12, 18, 25, 31|Eccl 2:13|Eccl 11:7
Gen	1	5	day,” and	Gen 8:22|Ps 19:2|Ps 74:16|Ps 104:20|Isa 45:7|Jer 33:20|1 Cor 3:13|Eph 5:13|1 Thess 5:5
Gen	1	5	And there was evening, and there was morning—	Gen 1:8, 13, 19, 23, 31
Gen	1	6	Let there	Gen 1:14, 20|Gen 7:11-12|Job 26:7-8, 13|Job 37:11, 18|Job 38:22-26|Ps 19:1|Ps 33:6, 9|Ps 104:2|Ps 136:5-6|Ps 148:4|Ps 150:1|Eccl 11:3|Jer 10:10, 12-13|Jer 51:15|Zech 12:1
Gen	1	7	separated	Prov 8:28-29
Gen	1	7	above	Job 26:8|Ps 104:10|Ps 148:4|Eccl 11:3
Gen	1	7	And it was so	Gen 1:9, 11, 15, 24|Matt 8:27
Gen	1	8	God	Gen 1:5, 10|Gen 5:2
Gen	1	8	evening	Gen 1:5, 13, 19, 23, 31
Gen	1	9	And God said, “Let the waters under the sky be gathered into one place, so that the dry land may appear.” And it was so.	Job 26:7, 10|Job 38:8-11|Ps 24:1-2|Ps 33:7|Ps 95:5|Ps 104:3, 5-9|Ps 136:5-6|Prov 8:28-29|Eccl 1:7|Jer 5:22|Jonah 1:9|2 Pet 3:5|Rev 10:6
Gen	1	10	God saw	Gen 1:4|Deut 32:4|Ps 104:31
Gen	1	11	Let the earth bring forth	Gen 2:5|Job 28:5|Ps 104:14-17|Ps 147:8|Matt 6:30|Heb 6:7
Gen	1	11	fruit	Gen 1:29|Gen 2:9, 16|Ps 1:3|Jer 17:8|Matt 3:10|Matt 7:16-20|Mark 4:28|Luke 6:43-44|Jas 3:12
Gen	1	12	earth	Isa 61:11|Mark 4:28
Gen	1	12	seed-bearing plants	Isa 55:10-11|Matt 13:24-26|Luke 6:44|2 Cor 9:10|Gal 6:7
Gen	1	14	Let there	Deut 4:19|Job 25:3, 5|Job 38:12-14|Ps 8:3-4|Ps 19:1-6|Ps 74:16-17|Ps 104:19-20|Ps 119:91|Ps 136:7-9|Ps 148:3, 6|Isa 40:26|Jer 31:35|Jer 33:20, 25
Gen	1	14	lights	Gen 8:22|Gen 9:13|Job 3:9|Job 38:31-32|Ps 81:3|Ezek 32:7-8|Ezek 46:1, 6|Joel 2:10, 30-31|Joel 3:15|Amos 5:8|Amos 8:9|Matt 2:2|Matt 16:2-3|Matt 24:29|Mark 13:24|Luke 21:25-26|Luke 23:45|Acts 2:19-20|Rev 6:12|Rev 8:12|Rev 9:2
Gen	1	16	to rule	Deut 4:19|Josh 10:12-14|Job 31:26|Job 38:7|Ps 8:3|Ps 19:6|Ps 74:16|Ps 136:7-9|Ps 148:3, 5|Isa 13:10|Isa 24:23|Isa 45:7|Hab 3:11|Matt 24:29|Matt 27:45|1 Cor 15:41|Rev 16:8-9|Rev 21:23
Gen	1	17	God set these lights in the expanse of the sky to shine upon the earth,	Gen 9:13|Job 38:12|Ps 8:1, 3|Acts 13:47
Gen	1	18	to preside over the day and the night, and to separate the light from the darkness. And God saw that it was good.	Ps 19:6|Jer 31:35
Gen	1	20	Let the waters	Gen 1:22|Gen 2:19|Gen 8:17|Ps 104:24-25|Ps 148:10|Acts 17:25
Gen	1	20	living creatures	1 Kgs 4:33
Gen	1	20	open expanse	Gen 1:7, 14
Gen	1	21	great sea creatures	Gen 6:20|Gen 7:14|Gen 8:19|Job 7:12|Job 26:5|Ps 104:24-26|Ezek 32:2|Jonah 1:17|Jonah 2:10|Matt 12:40
Gen	1	21	teemed	Gen 8:17|Gen 9:7|Exod 1:7|Exod 8:3
Gen	1	21	God saw	Gen 1:18, 25, 31
Gen	1	22	Then God blessed them and said, “Be fruitful and multiply and fill the waters of the seas, and let birds multiply on the earth.”	Gen 1:28|Gen 8:17|Gen 9:1|Gen 30:27, 30|Gen 35:11|Lev 26:9|Job 40:15|Job 42:12|Ps 107:31, 38|Ps 128:3|Ps 144:13-14|Prov 10:22
Gen	1	24	Let the earth bring forth	Gen 6:20|Gen 7:14|Gen 8:19|Job 38:39-40|Job 39:1, 5, 9, 19|Job 40:15|Ps 50:9-10|Ps 104:18, 23|Ps 148:10
Gen	1	25	God made the beasts of the earth according to their kinds, the livestock according to their kinds, and everything that crawls upon the earth according to its kind. And God saw that it was good.	Gen 2:19-20|Job 12:8-10|Job 26:13
Gen	1	26	Let Us	Gen 3:22|Gen 11:7|Job 35:10|Ps 100:3|Ps 149:2|Isa 64:8|John 5:17|John 14:23|1 John 5:7
Gen	1	26	in Our image	Gen 5:1|Gen 9:6|Eccl 7:29|Acts 17:26, 28-29|1 Cor 11:7|2 Cor 3:18|2 Cor 4:4|Eph 4:24|Col 1:15|Col 3:10|Jas 3:9
Gen	1	26	to rule	Gen 9:2-4|Job 5:23|Ps 8:4-8|Ps 104:20-24|Eccl 7:29|Jer 27:6|Acts 17:20, 28-29|1 Cor 11:7|2 Cor 3:18|Eph 4:24|Col 3:10|Heb 2:6-9|Jas 3:7, 9
Gen	1	27	in the image	Ps 139:14|Isa 43:7|Eph 2:10|Eph 4:24|Col 1:15|Col 1:26
