book	chapter	verse	anchor	references
Gn	1	1	commencement	Pr 8:22-24|Pr 16:4|Mc 13:19|Jn 1:1-3|He 1:10|1 Jn 1:1
Gn	1	1	Dieu	Ex 20:11|Ex 31:18|1 Ch 16:26|Ne 9:6|Jb 26:13|Jb 38:4|Ps 8:4|Ps 33:6,9|Ps 89:12-13|Ps 96:5|Ps 102:26|Ps 104:24,30|Ps 115:15|Ps 121:2|Ps 124:8|Ps 134:3|Ps 136:5|Ps 146:6|Ps 148:4-5|Pr 3:19|Pr 8:22-30|Ec 12:1|Es 37:16|Es 40:26|Es 40:28|Es 42:5|Es 44:24|Es 45:18|Es 51:13,16|Es 65:17|Jr 10:12|Jr 32:17|Jr 51:15|Za 12:1|Mt 11:25|Ac 4:24|Ac 14:15|Ac 17:24|Rm 1:19-20|Rm 11:36|1 Co 8:6|Ep 3:9|Col 1:16-17|He 1:2|He 3:4|He 11:3|2 Pi 3:5|Ap 3:14|Ap 4:11|Ap 10:6|Ap 14:7|Ap 21:6|Ap 22:13
Gn	1	2	chaos	Jb 26:7|Es 45:18|Jr 4:23|Na 2:11
Gn	1	2	l'Esprit	Jb 26:14|Ps 33:6|Ps 104:30|Es 40:12-14
Gn	1	3	Dieu dit	Ps 33:6,9|Ps 148:5|Mt 8:3|Jn 11:43
Gn	1	3	Qu'il y ait	Jb 36:30|Jb 38:19|Ps 97:11|Ps 104:2|Ps 118:27|Es 45:7|Es 60:19|Jn 1:5,9|Jn 3:19|2 Co 4:6|Ep 5:8,14|1 Tm 6:16|1 Jn 1:5|1 Jn 2:8
Gn	1	4	que	Gn 1:10,12,18,25,31|Ec 2:13|Ec 11:7
Gn	1	5	jour, et	Gn 8:22|Ps 19:3|Ps 74:16|Ps 104:20|Es 45:7|Jr 33:20|1 Co 3:13|Ep 5:13|1 Th 5:5
Gn	1	5	Il y eut un soir et il y eut un matin	Gn 1:8,13,19,23,31
Gn	1	6	Qu'il y ait	Gn 1:14,20|Gn 7:11-12|Jb 26:7-8,13|Jb 37:11,18|Jb 38:22-26|Ps 19:1-2|Ps 33:6,9|Ps 104:2|Ps 136:5-6|Ps 148:4|Ps 150:1|Ec 11:3|Jr 10:10,12-13|Jr 51:15|Za 12:1
Gn	1	7	sépara	Pr 8:28-29
Gn	1	7	au-dessus	Jb 26:8|Ps 104:10|Ps 148:4|Ec 11:3
Gn	1	7	se passa ainsi	Gn 1:9,11,15,24|Mt 8:27
Gn	1	8	Dieu appela	Gn 1:5,10|Gn 5:2
Gn	1	8	Il y eut un soir et il y eut un matin	Gn 1:5,13,19,23,31
Gn	1	9	Que les eaux qui sont au-dessous du ciel se rassemblent à un seul endroit et que le sec apparaisse!	Jb 26:7,10|Jb 38:8-11|Ps 24:1-2|Ps 33:7|Ps 95:5|Ps 104:3,5-9|Ps 136:5-6|Pr 8:28-29|Ec 1:7|Jr 5:22|Jon 1:9|2 Pi 3:5|Ap 10:6
